rank,eps_e,s_e,fitness,mode,primitive,k,mass_MeV,category
2,357.7297,1.9960,2.671,"(-3,+10)","(-3,+10)",1,1674.154,dark-massive
2,357.7297,1.9960,2.671,"(+0,-16)","(+0,-1)",16,1675.410,ring-only
2,357.7297,1.9960,2.671,"(-3,-22)","(-3,-22)",1,1676.667,dark-massive
2,357.7297,1.9960,2.671,"(-4,+9)","(-4,+9)",1,1778.448,dark-massive
2,357.7297,1.9960,2.671,"(-3,+11)","(-3,+11)",1,1778.867,dark-massive
2,357.7297,1.9960,2.671,"(-2,+13)","(-2,+13)",1,1779.285,dark-massive
2,357.7297,1.9960,2.671,"(+0,-17)","(+0,-1)",17,1780.123,ring-only
2,357.7297,1.9960,2.671,"(-2,-21)","(-2,-21)",1,1780.961,dark-massive
2,357.7297,1.9960,2.671,"(-3,-23)","(-3,-23)",1,1781.380,dark-massive
2,357.7297,1.9960,2.671,"(-4,-25)","(-4,-25)",1,1781.799,dark-massive
2,357.7297,1.9960,2.671,"(-4,+10)","(-2,+5)",2,1883.161,dark-massive
2,357.7297,1.9960,2.671,"(+0,-18)","(+0,-1)",18,1884.836,ring-only
2,357.7297,1.9960,2.671,"(-4,-26)","(-2,-13)",2,1886.512,dark-massive
2,357.7297,1.9960,2.671,"(-4,+11)","(-4,+11)",1,1987.874,dark-massive
2,357.7297,1.9960,2.671,"(-3,+13)","(-3,+13)",1,1988.293,dark-massive
2,357.7297,1.9960,2.671,"(-2,+15)","(-2,+15)",1,1988.712,dark-massive
2,357.7297,1.9960,2.671,"(+0,-19)","(+0,-1)",19,1989.549,ring-only
2,357.7297,1.9960,2.671,"(-2,-23)","(-2,-23)",1,1990.387,dark-massive
2,357.7297,1.9960,2.671,"(-3,-25)","(-3,-25)",1,1990.806,dark-massive
2,357.7297,1.9960,2.671,"(-4,-27)","(-4,-27)",1,1991.225,dark-massive
2,357.7297,1.9960,2.671,"(-3,+14)","(-3,+14)",1,2093.006,dark-massive
2,357.7297,1.9960,2.671,"(+0,-20)","(+0,-1)",20,2094.262,ring-only
2,357.7297,1.9960,2.671,"(-3,-26)","(-3,-26)",1,2095.519,dark-massive
2,357.7297,1.9960,2.671,"(-4,+13)","(-4,+13)",1,2197.300,dark-massive
2,357.7297,1.9960,2.671,"(-2,+17)","(-2,+17)",1,2198.138,dark-massive
2,357.7297,1.9960,2.671,"(+0,-21)","(+0,-1)",21,2198.976,ring-only
2,357.7297,1.9960,2.671,"(-2,-25)","(-2,-25)",1,2199.813,dark-massive
2,357.7297,1.9960,2.671,"(-4,-29)","(-4,-29)",1,2200.651,dark-massive
2,357.7297,1.9960,2.671,"(-4,+14)","(-2,+7)",2,2302.014,dark-massive
2,357.7297,1.9960,2.671,"(-3,+16)","(-3,+16)",1,2302.432,dark-massive
2,357.7297,1.9960,2.671,"(+0,-22)","(+0,-1)",22,2303.689,ring-only
2,357.7297,1.9960,2.671,"(-3,-28)","(-3,-28)",1,2304.945,dark-massive
2,357.7297,1.9960,2.671,"(-4,-30)","(-2,-15)",2,2305.364,dark-massive
2,357.7297,1.9960,2.671,"(-4,+15)","(-4,+15)",1,2406.727,dark-massive
2,357.7297,1.9960,2.671,"(-3,+17)","(-3,+17)",1,2407.145,dark-massive
2,357.7297,1.9960,2.671,"(-2,+19)","(-2,+19)",1,2407.564,dark-massive
2,357.7297,1.9960,2.671,"(+0,-23)","(+0,-1)",23,2408.402,ring-only
2,357.7297,1.9960,2.671,"(-2,-27)","(-2,-27)",1,2409.240,dark-massive
2,357.7297,1.9960,2.671,"(-3,-29)","(-3,-29)",1,2409.659,dark-massive
3,366.3780,2.0040,2.396,"(-4,-9)","(-4,-9)",1,103.842,dark-massive
3,366.3780,2.0040,2.396,"(-3,-7)","(-3,-7)",1,104.261,dark-massive
3,366.3780,2.0040,2.396,"(-2,-5)","(-2,-5)",1,104.681,dark-massive
3,366.3780,2.0040,2.396,"(+0,-1)","(+0,-1)",1,105.524,ring-only
3,366.3780,2.0040,2.396,"(-2,-3)","(-2,-3)",1,106.370,dark-massive
3,366.3780,2.0040,2.396,"(-3,-5)","(-3,-5)",1,106.794,dark-massive
3,366.3780,2.0040,2.396,"(-4,-7)","(-4,-7)",1,107.219,dark-massive
3,366.3780,2.0040,2.396,"(-4,-10)","(-2,-5)",2,209.363,dark-massive
3,366.3780,2.0040,2.396,"(-3,-8)","(-3,-8)",1,209.783,dark-massive
3,366.3780,2.0040,2.396,"(+0,-2)","(+0,-1)",2,211.048,ring-only
3,366.3780,2.0040,2.396,"(-1,+0)","(-1,+0)",1,211.470,tube-only
3,366.3780,2.0040,2.396,"(-3,-4)","(-3,-4)",1,212.316,dark-massive
3,366.3780,2.0040,2.396,"(-4,-6)","(-2,-3)",2,212.739,dark-massive
3,366.3780,2.0040,2.396,"(-4,-11)","(-4,-11)",1,314.886,dark-massive
3,366.3780,2.0040,2.396,"(-2,-7)","(-2,-7)",1,315.728,dark-massive
3,366.3780,2.0040,2.396,"(+0,-3)","(+0,-1)",3,316.572,ring-only
3,366.3780,2.0040,2.396,"(-2,-1)","(-2,-1)",1,317.417,dark-massive
3,366.3780,2.0040,2.396,"(-4,-5)","(-4,-5)",1,318.262,dark-massive
3,366.3780,2.0040,2.396,"(-3,-10)","(-3,-10)",1,420.830,dark-massive
3,366.3780,2.0040,2.396,"(+0,-4)","(+0,-1)",4,422.096,ring-only
3,366.3780,2.0040,2.396,"(-2,+0)","(-1,+0)",2,422.940,tube-only
3,366.3780,2.0040,2.396,"(-3,-2)","(-3,-2)",1,423.363,dark-massive
3,366.3780,2.0040,2.396,"(-4,-13)","(-4,-13)",1,525.933,dark-massive
3,366.3780,2.0040,2.396,"(-3,-11)","(-3,-11)",1,526.354,dark-massive
3,366.3780,2.0040,2.396,"(-2,-9)","(-2,-9)",1,526.776,dark-massive
3,366.3780,2.0040,2.396,"(+0,-5)","(+0,-1)",5,527.620,ring-only
3,366.3780,2.0040,2.396,"(-2,+1)","(-2,+1)",1,528.464,dark-massive
3,366.3780,2.0040,2.396,"(-3,-1)","(-3,-1)",1,528.887,dark-massive
3,366.3780,2.0040,2.396,"(-4,-3)","(-4,-3)",1,529.309,dark-massive
3,366.3780,2.0040,2.396,"(-4,-14)","(-2,-7)",2,631.456,dark-massive
3,366.3780,2.0040,2.396,"(+0,-6)","(+0,-1)",6,633.144,ring-only
3,366.3780,2.0040,2.396,"(-3,+0)","(-1,+0)",3,634.410,tube-only
3,366.3780,2.0040,2.396,"(-4,-2)","(-2,-1)",2,634.833,dark-massive
3,366.3780,2.0040,2.396,"(-4,-15)","(-4,-15)",1,736.980,dark-massive
3,366.3780,2.0040,2.396,"(-3,-13)","(-3,-13)",1,737.402,dark-massive
3,366.3780,2.0040,2.396,"(-2,-11)","(-2,-11)",1,737.824,dark-massive
3,366.3780,2.0040,2.396,"(+0,-7)","(+0,-1)",7,738.668,ring-only
3,366.3780,2.0040,2.396,"(-2,+3)","(-2,+3)",1,739.512,dark-massive
3,366.3780,2.0040,2.396,"(-3,+1)","(-3,+1)",1,739.934,dark-massive
3,366.3780,2.0040,2.396,"(-4,-1)","(-4,-1)",1,740.357,dark-massive
3,366.3780,2.0040,2.396,"(-3,-14)","(-3,-14)",1,842.926,dark-massive
3,366.3780,2.0040,2.396,"(+0,-8)","(+0,-1)",8,844.191,ring-only
3,366.3780,2.0040,2.396,"(-3,+2)","(-3,+2)",1,845.458,dark-massive
3,366.3780,2.0040,2.396,"(-4,+0)","(-1,+0)",4,845.881,tube-only
3,366.3780,2.0040,2.396,"(-4,-17)","(-4,-17)",1,948.028,dark-massive
3,366.3780,2.0040,2.396,"(-2,-13)","(-2,-13)",1,948.871,dark-massive
3,366.3780,2.0040,2.396,"(+0,-9)","(+0,-1)",9,949.715,ring-only
3,366.3780,2.0040,2.396,"(-2,+5)","(-2,+5)",1,950.560,dark-massive
3,366.3780,2.0040,2.396,"(-4,+1)","(-4,+1)",1,951.404,dark-massive
3,366.3780,2.0040,2.396,"(-4,-18)","(-2,-9)",2,1053.552,dark-massive
3,366.3780,2.0040,2.396,"(-3,-16)","(-3,-16)",1,1053.973,dark-massive
3,366.3780,2.0040,2.396,"(+0,-10)","(+0,-1)",10,1055.239,ring-only
3,366.3780,2.0040,2.396,"(-3,+4)","(-3,+4)",1,1056.506,dark-massive
3,366.3780,2.0040,2.396,"(-4,+2)","(-2,+1)",2,1056.928,dark-massive
3,366.3780,2.0040,2.396,"(-4,-19)","(-4,-19)",1,1159.075,dark-massive
3,366.3780,2.0040,2.396,"(-3,-17)","(-3,-17)",1,1159.497,dark-massive
3,366.3780,2.0040,2.396,"(-2,-15)","(-2,-15)",1,1159.919,dark-massive
3,366.3780,2.0040,2.396,"(+0,-11)","(+0,-1)",11,1160.763,ring-only
3,366.3780,2.0040,2.396,"(-2,+7)","(-2,+7)",1,1161.608,dark-massive
3,366.3780,2.0040,2.396,"(-3,+5)","(-3,+5)",1,1162.030,dark-massive
3,366.3780,2.0040,2.396,"(-4,+3)","(-4,+3)",1,1162.452,dark-massive
3,366.3780,2.0040,2.396,"(+0,-12)","(+0,-1)",12,1266.287,ring-only
3,366.3780,2.0040,2.396,"(-4,-21)","(-4,-21)",1,1370.123,dark-massive
3,366.3780,2.0040,2.396,"(-3,-19)","(-3,-19)",1,1370.545,dark-massive
3,366.3780,2.0040,2.396,"(-2,-17)","(-2,-17)",1,1370.967,dark-massive
3,366.3780,2.0040,2.396,"(+0,-13)","(+0,-1)",13,1371.811,ring-only
3,366.3780,2.0040,2.396,"(-2,+9)","(-2,+9)",1,1372.655,dark-massive
3,366.3780,2.0040,2.396,"(-3,+7)","(-3,+7)",1,1373.078,dark-massive
3,366.3780,2.0040,2.396,"(-4,+5)","(-4,+5)",1,1373.500,dark-massive
3,366.3780,2.0040,2.396,"(-4,-22)","(-2,-11)",2,1475.647,dark-massive
3,366.3780,2.0040,2.396,"(-3,-20)","(-3,-20)",1,1476.069,dark-massive
3,366.3780,2.0040,2.396,"(+0,-14)","(+0,-1)",14,1477.335,ring-only
3,366.3780,2.0040,2.396,"(-3,+8)","(-3,+8)",1,1478.602,dark-massive
3,366.3780,2.0040,2.396,"(-4,+6)","(-2,+3)",2,1479.024,dark-massive
3,366.3780,2.0040,2.396,"(-4,-23)","(-4,-23)",1,1581.171,dark-massive
3,366.3780,2.0040,2.396,"(-2,-19)","(-2,-19)",1,1582.015,dark-massive
3,366.3780,2.0040,2.396,"(+0,-15)","(+0,-1)",15,1582.859,ring-only
3,366.3780,2.0040,2.396,"(-2,+11)","(-2,+11)",1,1583.703,dark-massive
3,366.3780,2.0040,2.396,"(-4,+7)","(-4,+7)",1,1584.548,dark-massive
3,366.3780,2.0040,2.396,"(-3,-22)","(-3,-22)",1,1687.117,dark-massive
3,366.3780,2.0040,2.396,"(+0,-16)","(+0,-1)",16,1688.383,ring-only
3,366.3780,2.0040,2.396,"(-3,+10)","(-3,+10)",1,1689.649,dark-massive
3,366.3780,2.0040,2.396,"(-4,-25)","(-4,-25)",1,1792.219,dark-massive
3,366.3780,2.0040,2.396,"(-3,-23)","(-3,-23)",1,1792.641,dark-massive
3,366.3780,2.0040,2.396,"(-2,-21)","(-2,-21)",1,1793.063,dark-massive
3,366.3780,2.0040,2.396,"(+0,-17)","(+0,-1)",17,1793.907,ring-only
3,366.3780,2.0040,2.396,"(-2,+13)","(-2,+13)",1,1794.751,dark-massive
3,366.3780,2.0040,2.396,"(-3,+11)","(-3,+11)",1,1795.173,dark-massive
3,366.3780,2.0040,2.396,"(-4,+9)","(-4,+9)",1,1795.596,dark-massive
3,366.3780,2.0040,2.396,"(-4,-26)","(-2,-13)",2,1897.743,dark-massive
3,366.3780,2.0040,2.396,"(+0,-18)","(+0,-1)",18,1899.431,ring-only
3,366.3780,2.0040,2.396,"(-4,+10)","(-2,+5)",2,1901.119,dark-massive
3,366.3780,2.0040,2.396,"(-4,-27)","(-4,-27)",1,2003.267,dark-massive
3,366.3780,2.0040,2.396,"(-3,-25)","(-3,-25)",1,2003.689,dark-massive
3,366.3780,2.0040,2.396,"(-2,-23)","(-2,-23)",1,2004.111,dark-massive
3,366.3780,2.0040,2.396,"(+0,-19)","(+0,-1)",19,2004.955,ring-only
3,366.3780,2.0040,2.396,"(-2,+15)","(-2,+15)",1,2005.799,dark-massive
3,366.3780,2.0040,2.396,"(-3,+13)","(-3,+13)",1,2006.221,dark-massive
3,366.3780,2.0040,2.396,"(-4,+11)","(-4,+11)",1,2006.643,dark-massive
3,366.3780,2.0040,2.396,"(-3,-26)","(-3,-26)",1,2109.212,dark-massive
3,366.3780,2.0040,2.396,"(+0,-20)","(+0,-1)",20,2110.479,ring-only
3,366.3780,2.0040,2.396,"(-3,+14)","(-3,+14)",1,2111.745,dark-massive
3,366.3780,2.0040,2.396,"(-4,-29)","(-4,-29)",1,2214.314,dark-massive
3,366.3780,2.0040,2.396,"(-2,-25)","(-2,-25)",1,2215.158,dark-massive
3,366.3780,2.0040,2.396,"(+0,-21)","(+0,-1)",21,2216.003,ring-only
3,366.3780,2.0040,2.396,"(-2,+17)","(-2,+17)",1,2216.847,dark-massive
3,366.3780,2.0040,2.396,"(-4,+13)","(-4,+13)",1,2217.691,dark-massive
3,366.3780,2.0040,2.396,"(-4,-30)","(-2,-15)",2,2319.838,dark-massive
3,366.3780,2.0040,2.396,"(-3,-28)","(-3,-28)",1,2320.260,dark-massive
3,366.3780,2.0040,2.396,"(+0,-22)","(+0,-1)",22,2321.526,ring-only
3,366.3780,2.0040,2.396,"(-3,+16)","(-3,+16)",1,2322.793,dark-massive
3,366.3780,2.0040,2.396,"(-4,+14)","(-2,+7)",2,2323.215,dark-massive
3,366.3780,2.0040,2.396,"(-3,-29)","(-3,-29)",1,2425.784,dark-massive
3,366.3780,2.0040,2.396,"(-2,-27)","(-2,-27)",1,2426.206,dark-massive
3,366.3780,2.0040,2.396,"(+0,-23)","(+0,-1)",23,2427.050,ring-only
3,366.3780,2.0040,2.396,"(-2,+19)","(-2,+19)",1,2427.895,dark-massive
3,366.3780,2.0040,2.396,"(-3,+17)","(-3,+17)",1,2428.317,dark-massive
3,366.3780,2.0040,2.396,"(-4,+15)","(-4,+15)",1,2428.739,dark-massive
4,366.3780,1.9960,2.396,"(-4,-7)","(-4,-7)",1,103.842,dark-massive
4,366.3780,1.9960,2.396,"(-3,-5)","(-3,-5)",1,104.261,dark-massive
4,366.3780,1.9960,2.396,"(-2,-3)","(-2,-3)",1,104.681,dark-massive
4,366.3780,1.9960,2.396,"(+0,-1)","(+0,-1)",1,105.524,ring-only
4,366.3780,1.9960,2.396,"(-2,-5)","(-2,-5)",1,106.370,dark-massive
4,366.3780,1.9960,2.396,"(-3,-7)","(-3,-7)",1,106.794,dark-massive
4,366.3780,1.9960,2.396,"(-4,-9)","(-4,-9)",1,107.219,dark-massive
4,366.3780,1.9960,2.396,"(-4,-6)","(-2,-3)",2,209.363,dark-massive
4,366.3780,1.9960,2.396,"(-3,-4)","(-3,-4)",1,209.783,dark-massive
4,366.3780,1.9960,2.396,"(-1,+0)","(-1,+0)",1,210.626,tube-only
4,366.3780,1.9960,2.396,"(+0,-2)","(+0,-1)",2,211.048,ring-only
4,366.3780,1.9960,2.396,"(-3,-8)","(-3,-8)",1,212.316,dark-massive
4,366.3780,1.9960,2.396,"(-4,-10)","(-2,-5)",2,212.739,dark-massive
4,366.3780,1.9960,2.396,"(-4,-5)","(-4,-5)",1,314.886,dark-massive
4,366.3780,1.9960,2.396,"(-2,-1)","(-2,-1)",1,315.728,dark-massive
4,366.3780,1.9960,2.396,"(+0,-3)","(+0,-1)",3,316.572,ring-only
4,366.3780,1.9960,2.396,"(-2,-7)","(-2,-7)",1,317.417,dark-massive
4,366.3780,1.9960,2.396,"(-4,-11)","(-4,-11)",1,318.262,dark-massive
4,366.3780,1.9960,2.396,"(-3,-2)","(-3,-2)",1,420.830,dark-massive
4,366.3780,1.9960,2.396,"(-2,+0)","(-1,+0)",2,421.252,tube-only
4,366.3780,1.9960,2.396,"(+0,-4)","(+0,-1)",4,422.096,ring-only
4,366.3780,1.9960,2.396,"(-3,-10)","(-3,-10)",1,423.363,dark-massive
4,366.3780,1.9960,2.396,"(-4,-3)","(-4,-3)",1,525.933,dark-massive
4,366.3780,1.9960,2.396,"(-3,-1)","(-3,-1)",1,526.354,dark-massive
4,366.3780,1.9960,2.396,"(-2,+1)","(-2,+1)",1,526.776,dark-massive
4,366.3780,1.9960,2.396,"(+0,-5)","(+0,-1)",5,527.620,ring-only
4,366.3780,1.9960,2.396,"(-2,-9)","(-2,-9)",1,528.464,dark-massive
4,366.3780,1.9960,2.396,"(-3,-11)","(-3,-11)",1,528.887,dark-massive
4,366.3780,1.9960,2.396,"(-4,-13)","(-4,-13)",1,529.309,dark-massive
4,366.3780,1.9960,2.396,"(-4,-2)","(-2,-1)",2,631.456,dark-massive
4,366.3780,1.9960,2.396,"(-3,+0)","(-1,+0)",3,631.878,tube-only
4,366.3780,1.9960,2.396,"(+0,-6)","(+0,-1)",6,633.144,ring-only
4,366.3780,1.9960,2.396,"(-4,-14)","(-2,-7)",2,634.833,dark-massive
4,366.3780,1.9960,2.396,"(-4,-1)","(-4,-1)",1,736.980,dark-massive
4,366.3780,1.9960,2.396,"(-3,+1)","(-3,+1)",1,737.402,dark-massive
4,366.3780,1.9960,2.396,"(-2,+3)","(-2,+3)",1,737.824,dark-massive
4,366.3780,1.9960,2.396,"(+0,-7)","(+0,-1)",7,738.668,ring-only
4,366.3780,1.9960,2.396,"(-2,-11)","(-2,-11)",1,739.512,dark-massive
4,366.3780,1.9960,2.396,"(-3,-13)","(-3,-13)",1,739.934,dark-massive
4,366.3780,1.9960,2.396,"(-4,-15)","(-4,-15)",1,740.357,dark-massive
